epoch,phase,train_loss,val_loss
1,pretrain,1.4342188882827758,1.2551680965423584
2,pretrain,1.001875029404958,1.2971966152191161
3,pretrain,0.8149509243965148,1.1626693487167359
4,pretrain,0.6918493684132894,0.8456405854225159
5,pretrain,0.6000553255081177,0.8804411096572876
6,pretrain,0.5377155357201894,0.6014500904083252
7,pretrain,0.489808709303538,0.5779933817386628
8,pretrain,0.4610939978758494,0.5133289499282837
9,pretrain,0.42079654280344647,0.5062079529762268
10,pretrain,0.39486274755001066,0.5396084008216858
1,finetune,0.4441127421061198,0.3632589921951294
2,finetune,0.41709878651301063,0.3534572284221649
3,finetune,0.4108468368848165,0.3475994846820831
4,finetune,0.38857940832773846,0.30248680114746096
5,finetune,0.3481620260079702,0.2974045079946518
6,finetune,0.3289017936388651,0.2905216715335846
7,finetune,0.30503512008984884,0.2924879068136215
8,finetune,0.2882447946468989,0.28700407314300536
9,finetune,0.28032021164894105,0.28749711644649506
10,finetune,0.2581105772654215,0.29119141042232516
11,finetune,0.2538811027208964,0.2894166384935379
12,finetune,0.23982592789332072,0.2854577798843384
13,finetune,0.2315733638604482,0.28904835259914397
14,finetune,0.21956287614504497,0.2882491942644119
15,finetune,0.21120645328362783,0.29205551075935365
