epoch,phase,train_loss,val_loss
1,pretrain,1.4512350902557374,1.3277782878875732
2,pretrain,1.005165327390035,1.148795760154724
3,pretrain,0.7970978450775147,0.7997140417098999
4,pretrain,0.672602157274882,0.9015748887062073
5,pretrain,0.6006739312012991,0.6628287217617035
6,pretrain,0.5359222468535105,0.8702549047470093
7,pretrain,0.4938065520127614,0.6123888032436371
8,pretrain,0.4554980219205221,0.49476722240447996
9,pretrain,0.4206831151644389,0.5247931547164917
10,pretrain,0.3981180469989777,0.49122789239883424
1,finetune,0.574331922531128,0.510733598947525
2,finetune,0.5700721672375997,0.5006887862682342
3,finetune,0.5550415045420328,0.49277248668670653
4,finetune,0.5330955781936646,0.4516626567840576
5,finetune,0.4878452865282695,0.43731789994239806
6,finetune,0.46732059399286907,0.43497076201438906
7,finetune,0.4451751072406769,0.4302636134624481
8,finetune,0.436580726146698,0.4279604613780975
9,finetune,0.4164167906443278,0.4252393658161163
10,finetune,0.40505225777626036,0.4240270025730133
11,finetune,0.3955883835156759,0.4246167762279511
12,finetune,0.3780086816151937,0.42878573608398435
13,finetune,0.3699388575553894,0.425222244977951
14,finetune,0.36055025641123456,0.427901992559433
15,finetune,0.3518201773961385,0.4234840621948242
